CENSUS_TRACT_GEOID,COUNTY,STATE,tract_fips,poverty_2020,poverty_2022,poverty_change_20_22,income_2020,income_2022,income_change_20_22,unemployment_2020,unemployment_2022,unemployment_change_20_22,education_2020,education_2022,education_change_20_22,housing_burden_2020,housing_burden_2022,housing_burden_change_20_22,no_vehicle_2020,no_vehicle_2022,no_vehicle_change_20_22,food_access_population_2020,food_access_population_2022,food_access_population_change_20_22,uninsured_2020,uninsured_2022,uninsured_change_20_22,disability_2020,disability_2022,disability_change_20_22,broadband_2020,broadband_2022,broadband_change_20_22
6037125200,Los Angeles County,California,6037125200,8.8,10.7,1.9,80915.0,88274,7359.0,7.9,13.2,5.3,51.1,59.1,8.0,38.7,34.6,-4.1,5.6,6.6,1.0,100.0,85.83,-14.17,11.1,9.8,-1.3,8.2,9.6,1.4,76.9,92.2,15.3
6037125310,Los Angeles County,California,6037125310,17.3,18.5,1.2,53769.0,58162,4393.0,3.3,8.5,5.2,38.7,47.4,8.7,45.3,50.1,4.8,4.4,5.6,1.2,20.05,20.58,0.53,6.9,5.6,-1.3,9.5,10.4,0.9,72.8,87.6,14.8
6037125321,Los Angeles County,California,6037125321,14.2,18.3,4.1,49560.0,53778,4218.0,2.8,5.7,2.9,43.4,44.5,1.1,52.7,52.0,-0.7,2.0,5.5,3.5,75.41,1.7,-73.71,11.1,10.9,-0.2,14.2,13.3,-0.9,70.9,86.9,16.0
6037125322,Los Angeles County,California,6037125322,29.3,30.9,1.6,33818.0,34432,614.0,7.6,9.3,1.7,35.5,45.7,10.2,55.5,62.0,6.5,28.3,33.7,5.4,0.0,97.44,97.44,12.9,11.4,-1.5,28.7,30.1,1.4,67.5,81.9,14.4
6037125402,Los Angeles County,California,6037125402,11.3,8.6,-2.7,80703.0,86170,5467.0,10.3,11.0,0.7,48.7,49.3,0.6,42.0,42.6,0.6,3.1,5.5,2.4,84.89,91.24,6.35,8.1,5.9,-2.2,4.2,4.0,-0.2,86.2,89.5,3.3
6037125403,Los Angeles County,California,6037125403,8.7,12.8,4.1,73654.0,80893,7239.0,6.2,9.9,3.7,60.4,56.7,-3.7,42.5,41.6,-0.9,10.2,8.8,-1.4,0.14,44.07,43.93,12.3,12.5,0.2,7.2,10.6,3.4,87.9,94.2,6.3
6037125404,Los Angeles County,California,6037125404,24.2,16.0,-8.2,65778.0,77574,11796.0,5.7,14.3,8.6,60.7,69.1,8.4,59.8,35.5,-24.3,4.6,5.4,0.8,100.0,12.58,-87.42,4.1,7.5,3.4,6.0,6.0,0.0,77.8,93.5,15.7
6037125501,Los Angeles County,California,6037125501,20.3,18.4,-1.9,48647.0,62109,13462.0,10.9,9.6,-1.3,45.5,51.2,5.7,46.8,47.0,0.2,8.6,8.7,0.1,4.89,6.64,1.75,8.4,12.2,3.8,13.1,11.6,-1.5,74.0,84.9,10.9
6037125502,Los Angeles County,California,6037125502,14.3,18.2,3.9,69397.0,78139,8742.0,11.7,13.0,1.3,52.9,49.3,-3.6,43.2,41.8,-1.4,8.6,7.9,-0.7,99.18,98.49,-0.69,8.8,3.8,-5.0,8.7,11.4,2.7,80.2,81.1,0.9
6037125600,Los Angeles County,California,6037125600,12.3,8.1,-4.2,72096.0,105432,33336.0,6.7,5.1,-1.6,45.4,53.5,8.1,40.3,27.9,-12.4,2.1,3.1,1.0,39.5,31.39,-8.11,4.7,6.1,1.4,10.9,7.8,-3.1,87.5,94.8,7.3
6037127102,Los Angeles County,California,6037127102,27.0,25.5,-1.5,50224.0,50739,515.0,8.8,9.5,0.7,16.4,22.0,5.6,48.9,53.9,5.0,4.7,4.0,-0.7,18.04,22.19,4.15,17.5,12.7,-4.8,8.1,8.6,0.5,88.8,91.6,2.8
6037127103,Los Angeles County,California,6037127103,3.5,8.8,5.3,55477.0,58591,3114.0,3.7,3.7,0.0,26.7,26.1,-0.6,35.4,40.2,4.8,5.6,5.8,0.2,5.69,1.5,-4.19,9.9,11.5,1.6,10.1,11.8,1.7,79.5,90.3,10.8
6037127104,Los Angeles County,California,6037127104,15.1,19.9,4.8,55927.0,63158,7231.0,6.4,8.1,1.7,21.8,23.2,1.4,57.3,58.6,1.3,8.6,4.4,-4.2,31.39,28.18,-3.21,5.9,8.8,2.9,8.0,11.6,3.6,96.3,95.2,-1.1
6037127210,Los Angeles County,California,6037127210,14.3,11.0,-3.3,55614.0,63255,7641.0,7.1,9.5,2.4,23.0,23.2,0.2,46.6,45.8,-0.8,17.2,11.8,-5.4,23.54,20.96,-2.58,14.2,10.9,-3.3,8.3,10.1,1.8,87.9,89.9,2.0
6037127220,Los Angeles County,California,6037127220,19.1,20.3,1.2,43188.0,44846,1658.0,9.6,13.2,3.6,32.1,23.4,-8.7,62.8,55.1,-7.7,14.5,15.7,1.2,74.25,97.44,23.19,16.7,13.2,-3.5,10.3,10.3,0.0,86.7,81.1,-5.6
6037127300,Los Angeles County,California,6037127300,12.3,8.4,-3.9,54659.0,71860,17201.0,5.7,7.7,2.0,27.5,30.3,2.8,46.1,44.8,-1.3,6.7,6.3,-0.4,42.92,38.65,-4.27,8.2,7.2,-1.0,5.3,9.6,4.3,90.5,91.0,0.5
6037127400,Los Angeles County,California,6037127400,12.8,15.1,2.3,61806.0,66009,4203.0,4.6,7.6,3.0,16.6,18.4,1.8,42.0,42.9,0.9,12.9,15.6,2.7,87.2,82.09,-5.11,18.5,17.1,-1.4,5.5,9.9,4.4,81.0,80.3,-0.7
6037127520,Los Angeles County,California,6037127520,28.6,27.6,-1.0,38333.0,48750,10417.0,9.0,7.9,-1.1,10.2,12.5,2.3,62.0,61.7,-0.3,23.3,18.1,-5.2,66.0,68.41,2.41,16.8,20.1,3.3,11.1,13.0,1.9,75.3,83.0,7.7
6037127604,Los Angeles County,California,6037127604,20.3,25.4,5.1,43097.0,48750,5653.0,3.8,3.1,-0.7,23.5,32.9,9.4,57.7,57.0,-0.7,14.7,11.3,-3.4,39.29,41.53,2.24,14.6,10.8,-3.8,9.6,11.2,1.6,89.9,88.6,-1.3
6037127712,Los Angeles County,California,6037127712,22.1,24.3,2.2,46026.0,60514,14488.0,3.6,5.6,2.0,29.8,25.6,-4.2,65.6,56.4,-9.2,12.8,12.5,-0.3,27.35,48.33,20.98,18.0,16.7,-1.3,6.0,7.0,1.0,86.1,90.7,4.6
6037127803,Los Angeles County,California,6037127803,27.0,21.8,-5.2,45278.0,64607,19329.0,6.5,6.4,-0.1,30.2,34.3,4.1,53.8,45.1,-8.7,16.9,13.6,-3.3,53.49,58.53,5.04,7.3,6.4,-0.9,15.2,13.9,-1.3,80.0,81.0,1.0
6037127805,Los Angeles County,California,6037127805,10.9,20.5,9.6,52917.0,52900,-17.0,7.1,7.6,0.5,24.5,23.2,-1.3,52.5,54.6,2.1,15.1,14.7,-0.4,83.96,98.94,14.98,20.7,17.8,-2.9,7.8,13.1,5.3,83.3,80.6,-2.7
6037127806,Los Angeles County,California,6037127806,17.6,14.9,-2.7,44565.0,75817,31252.0,7.0,4.1,-2.9,27.0,28.5,1.5,64.0,44.7,-19.3,13.8,7.5,-6.3,29.77,99.06,69.29,19.3,22.5,3.2,7.4,5.5,-1.9,89.3,92.9,3.6
6037127910,Los Angeles County,California,6037127910,22.1,27.3,5.2,45455.0,53783,8328.0,10.9,8.5,-2.4,15.9,13.4,-2.5,58.9,57.6,-1.3,14.4,16.1,1.7,3.32,6.44,3.12,16.3,15.7,-0.6,10.2,11.8,1.6,91.0,92.5,1.5
6037127920,Los Angeles County,California,6037127920,25.3,19.6,-5.7,49604.0,69495,19891.0,7.3,8.2,0.9,31.0,27.7,-3.3,57.5,42.9,-14.6,7.2,7.0,-0.2,1.23,1.23,0.0,9.5,10.0,0.5,13.5,13.4,-0.1,89.2,93.6,4.4
6037128101,Los Angeles County,California,6037128101,15.5,11.1,-4.4,58125.0,80714,22589.0,8.0,5.3,-2.7,23.0,27.8,4.8,48.6,40.9,-7.7,5.6,6.3,0.7,23.63,26.39,2.76,10.6,9.0,-1.6,9.6,9.3,-0.3,87.1,95.3,8.2
6037128102,Los Angeles County,California,6037128102,19.9,13.2,-6.7,45054.0,58603,13549.0,4.5,5.1,0.6,12.1,15.4,3.3,59.5,50.1,-9.4,14.0,10.0,-4.0,1.32,8.13,6.81,19.9,19.6,-0.3,7.9,8.4,0.5,85.7,87.6,1.9
6037128210,Los Angeles County,California,6037128210,35.0,28.8,-6.2,35969.0,57679,21710.0,7.0,8.4,1.4,15.2,15.5,0.3,71.3,53.6,-17.7,14.3,12.0,-2.3,89.97,94.31,4.34,15.1,16.0,0.9,6.8,7.4,0.6,81.3,84.7,3.4
6037128220,Los Angeles County,California,6037128220,19.6,20.3,0.7,47611.0,61389,13778.0,1.4,2.5,1.1,34.9,32.2,-2.7,55.5,49.3,-6.2,11.3,10.5,-0.8,100.0,100.0,0.0,9.0,9.4,0.4,10.9,11.1,0.2,82.9,87.6,4.7
6037128302,Los Angeles County,California,6037128302,22.4,29.7,7.3,50598.0,63047,12449.0,4.3,8.8,4.5,15.0,17.7,2.7,55.0,48.7,-6.3,9.7,8.5,-1.2,10.75,14.35,3.6,21.2,20.8,-0.4,11.5,13.2,1.7,82.0,81.4,-0.6
6037128303,Los Angeles County,California,6037128303,32.6,31.2,-1.4,38880.0,41328,2448.0,8.8,9.5,0.7,18.0,19.0,1.0,72.1,60.3,-11.8,13.9,15.3,1.4,77.32,86.47,9.15,17.9,16.3,-1.6,8.4,12.7,4.3,86.9,91.0,4.1
6037128400,Los Angeles County,California,6037128400,16.6,9.6,-7.0,97935.0,101955,4020.0,4.2,3.7,-0.5,47.2,52.5,5.3,37.1,30.8,-6.3,1.1,1.9,0.8,5.97,1.19,-4.78,7.3,5.6,-1.7,8.9,8.9,0.0,94.5,95.4,0.9
6037128500,Los Angeles County,California,6037128500,4.7,8.6,3.9,96048.0,118460,22412.0,5.1,4.3,-0.8,51.2,53.6,2.4,31.5,30.5,-1.0,7.8,10.2,2.4,33.06,32.14,-0.92,6.6,3.8,-2.8,7.0,7.7,0.7,93.5,95.6,2.1
6037128601,Los Angeles County,California,6037128601,22.4,17.6,-4.8,55758.0,64482,8724.0,7.6,9.1,1.5,32.8,28.8,-4.0,48.3,42.0,-6.3,7.2,6.2,-1.0,76.62,74.73,-1.89,17.5,10.9,-6.6,8.0,9.5,1.5,85.3,89.7,4.4
6037128602,Los Angeles County,California,6037128602,13.8,8.5,-5.3,87772.0,88333,561.0,8.2,8.5,0.3,59.0,66.3,7.3,34.6,32.6,-2.0,5.4,4.8,-0.6,99.75,99.94,0.19,5.4,2.8,-2.6,5.6,5.8,0.2,91.5,92.8,1.3
6037128703,Los Angeles County,California,6037128703,7.2,11.3,4.1,72837.0,86080,13243.0,18.8,22.9,4.1,50.0,50.4,0.4,44.4,38.4,-6.0,5.4,5.4,0.0,53.12,14.8,-38.32,10.8,14.0,3.2,12.1,12.9,0.8,91.5,92.7,1.2
6037128704,Los Angeles County,California,6037128704,9.5,6.1,-3.4,118609.0,128472,9863.0,6.2,7.2,1.0,58.3,62.5,4.2,19.8,15.4,-4.4,4.2,5.6,1.4,4.83,62.1,57.27,15.3,10.2,-5.1,8.3,10.2,1.9,89.6,96.0,6.4
6037131021,Los Angeles County,California,6037131021,11.6,10.4,-1.2,54289.0,58333,4044.0,4.9,5.3,0.4,18.0,15.3,-2.7,55.3,51.2,-4.1,20.2,22.7,2.5,98.92,1.19,-97.73,12.3,10.8,-1.5,8.1,11.3,3.2,87.1,94.0,6.9
6037131022,Los Angeles County,California,6037131022,15.4,15.3,-0.1,55357.0,63140,7783.0,5.5,5.4,-0.1,28.1,30.8,2.7,53.3,47.7,-5.6,6.0,5.2,-0.8,99.43,83.57,-15.86,9.4,15.2,5.8,9.9,10.9,1.0,93.1,92.0,-1.1
6037131023,Los Angeles County,California,6037131023,15.7,11.1,-4.6,60481.0,77880,17399.0,5.2,5.0,-0.2,15.4,20.8,5.4,54.7,36.0,-18.7,2.7,0.0,-2.7,100.0,53.36,-46.64,9.7,11.1,1.4,12.0,11.2,-0.8,92.5,93.3,0.8
6037131024,Los Angeles County,California,6037131024,13.3,9.5,-3.8,93233.0,93929,696.0,7.4,9.3,1.9,26.8,29.2,2.4,31.5,26.1,-5.4,4.5,3.6,-0.9,93.05,100.0,6.95,10.2,7.2,-3.0,6.4,5.6,-0.8,89.3,86.7,-2.6
6037131100,Los Angeles County,California,6037131100,7.6,7.1,-0.5,91989.0,104750,12761.0,7.4,7.6,0.2,30.7,35.3,4.6,29.5,26.7,-2.8,2.5,3.2,0.7,56.44,52.87,-3.57,6.0,8.5,2.5,11.6,12.0,0.4,93.8,94.0,0.2
6037131200,Los Angeles County,California,6037131200,8.0,11.1,3.1,89507.0,102095,12588.0,1.8,2.8,1.0,34.2,32.8,-1.4,31.5,28.0,-3.5,6.4,3.9,-2.5,65.71,64.55,-1.16,4.0,5.5,1.5,16.3,12.5,-3.8,87.9,86.9,-1.0
6037131300,Los Angeles County,California,6037131300,11.3,8.5,-2.8,66042.0,69651,3609.0,4.6,7.2,2.6,28.1,21.3,-6.8,41.7,37.7,-4.0,5.4,5.4,0.0,100.0,93.2,-6.8,8.2,5.4,-2.8,7.9,9.5,1.6,89.5,92.6,3.1
6037131801,Los Angeles County,California,6037131801,16.3,17.8,1.5,50563.0,53707,3144.0,7.2,3.8,-3.4,17.9,17.8,-0.1,49.6,50.7,1.1,21.0,18.6,-2.4,75.78,76.49,0.71,5.5,7.1,1.6,9.5,10.7,1.2,87.8,89.8,2.0
6037131900,Los Angeles County,California,6037131900,6.5,3.4,-3.1,108424.0,126282,17858.0,10.0,7.4,-2.6,30.8,33.8,3.0,27.3,18.5,-8.8,0.0,0.0,0.0,3.08,0.0,-3.08,5.8,10.4,4.6,8.4,8.4,0.0,95.8,94.3,-1.5
6037132001,Los Angeles County,California,6037132001,4.9,13.0,8.1,76972.0,91012,14040.0,4.8,6.3,1.5,34.2,47.2,13.0,36.0,36.6,0.6,6.9,8.7,1.8,9.64,7.35,-2.29,2.4,3.9,1.5,12.0,14.4,2.4,97.0,96.7,-0.3
6037132002,Los Angeles County,California,6037132002,3.6,2.3,-1.3,87432.0,96408,8976.0,2.6,7.4,4.8,34.1,28.1,-6.0,38.4,36.2,-2.2,2.3,1.4,-0.9,24.8,15.39,-9.41,3.4,3.0,-0.4,7.8,9.2,1.4,92.8,93.8,1.0
6037132101,Los Angeles County,California,6037132101,31.7,33.7,2.0,58849.0,68246,9397.0,9.4,9.6,0.2,32.1,30.6,-1.5,39.0,34.3,-4.7,7.1,6.1,-1.0,76.34,70.13,-6.21,6.7,5.1,-1.6,7.6,10.1,2.5,92.8,91.6,-1.2
6037132301,Los Angeles County,California,6037132301,18.7,19.4,0.7,46808.0,59484,12676.0,1.9,5.8,3.9,28.6,30.0,1.4,40.5,44.6,4.1,15.2,14.4,-0.8,84.72,71.23,-13.49,20.1,20.4,0.3,14.5,10.1,-4.4,89.7,82.1,-7.6
6037132302,Los Angeles County,California,6037132302,6.3,6.3,0.0,75949.0,86464,10515.0,5.5,5.2,-0.3,27.1,28.6,1.5,37.6,31.5,-6.1,0.0,1.7,1.7,21.54,100.0,78.46,16.7,13.5,-3.2,12.4,10.6,-1.8,93.4,97.8,4.4
6037132501,Los Angeles County,California,6037132501,9.4,11.2,1.8,60677.0,74205,13528.0,8.1,7.3,-0.8,20.6,24.4,3.8,41.9,41.3,-0.6,5.1,2.4,-2.7,100.0,100.0,0.0,13.4,13.2,-0.2,8.1,8.6,0.5,89.8,89.0,-0.8
6037132502,Los Angeles County,California,6037132502,23.7,16.8,-6.9,40179.0,59018,18839.0,18.3,11.7,-6.6,36.7,36.1,-0.6,50.0,49.1,-0.9,8.3,9.2,0.9,38.92,35.51,-3.41,7.0,9.6,2.6,19.6,16.8,-2.8,88.2,89.0,0.8
6037132700,Los Angeles County,California,6037132700,15.4,18.0,2.6,75234.0,79893,4659.0,4.2,5.9,1.7,24.2,27.8,3.6,39.4,38.1,-1.3,7.0,12.0,5.0,36.49,36.91,0.42,7.2,8.2,1.0,10.2,9.1,-1.1,88.2,86.3,-1.9
6037132900,Los Angeles County,California,6037132900,4.6,8.4,3.8,79534.0,96767,17233.0,4.7,2.2,-2.5,38.1,39.7,1.6,33.1,30.3,-2.8,9.0,5.7,-3.3,31.77,34.52,2.75,8.8,9.2,0.4,9.9,13.6,3.7,89.8,86.2,-3.6
6037133101,Los Angeles County,California,6037133101,5.8,4.7,-1.1,65954.0,98750,32796.0,2.7,3.4,0.7,29.7,40.2,10.5,44.3,30.4,-13.9,3.7,3.7,0.0,19.91,32.25,12.34,12.2,5.5,-6.7,11.6,10.8,-0.8,88.2,88.3,0.1
6037133102,Los Angeles County,California,6037133102,15.9,13.5,-2.4,41875.0,44125,2250.0,4.7,6.5,1.8,32.0,31.6,-0.4,45.0,49.6,4.6,21.0,18.9,-2.1,89.14,24.72,-64.42,5.4,3.9,-1.5,13.9,12.8,-1.1,75.1,81.0,5.9
6037134001,Los Angeles County,California,6037134001,12.6,12.9,0.3,67942.0,80682,12740.0,4.6,7.4,2.8,14.6,17.6,3.0,42.4,33.5,-8.9,4.3,4.4,0.1,6.54,0.0,-6.54,16.0,11.8,-4.2,9.8,4.7,-5.1,89.2,93.9,4.7
6037134002,Los Angeles County,California,6037134002,13.4,15.6,2.2,56371.0,68750,12379.0,6.4,10.9,4.5,25.0,27.7,2.7,48.4,47.2,-1.2,9.5,8.5,-1.0,3.8,8.41,4.61,6.1,8.0,1.9,12.9,14.9,2.0,87.4,90.6,3.2
6037134103,Los Angeles County,California,6037134103,29.8,33.3,3.5,72406.0,85000,12594.0,5.2,6.7,1.5,22.0,27.5,5.5,41.3,36.7,-4.6,10.4,12.8,2.4,7.21,5.08,-2.13,4.8,4.8,0.0,11.3,11.2,-0.1,90.6,86.3,-4.3
6037134104,Los Angeles County,California,6037134104,17.4,19.0,1.6,69507.0,75174,5667.0,8.3,8.5,0.2,33.2,34.2,1.0,40.7,40.4,-0.3,4.7,5.9,1.2,100.0,97.85,-2.15,16.3,15.1,-1.2,8.0,14.7,6.7,97.4,95.3,-2.1
6037134201,Los Angeles County,California,6037134201,8.4,10.1,1.7,83295.0,92024,8729.0,5.6,7.3,1.7,27.9,33.4,5.5,34.0,30.1,-3.9,1.7,0.0,-1.7,62.21,60.06,-2.15,8.5,10.5,2.0,10.4,7.4,-3.0,95.2,94.0,-1.2
6037134302,Los Angeles County,California,6037134302,17.2,13.3,-3.9,104476.0,122563,18087.0,4.2,4.1,-0.1,31.5,37.2,5.7,31.6,24.8,-6.8,15.3,11.1,-4.2,97.5,93.28,-4.22,9.3,8.5,-0.8,8.7,13.3,4.6,94.6,97.8,3.2
6037134304,Los Angeles County,California,6037134304,13.5,16.1,2.6,68438.0,74875,6437.0,9.3,10.7,1.4,29.7,34.3,4.6,42.6,38.6,-4.0,5.7,6.5,0.8,1.43,0.0,-1.43,5.9,8.9,3.0,7.8,11.2,3.4,86.1,88.3,2.2
6037134305,Los Angeles County,California,6037134305,21.3,16.0,-5.3,39506.0,50278,10772.0,2.4,6.7,4.3,13.1,16.9,3.8,65.7,59.7,-6.0,14.2,15.0,0.8,70.58,38.61,-31.97,24.1,13.9,-10.2,9.4,10.8,1.4,91.2,90.4,-0.8
6037134306,Los Angeles County,California,6037134306,12.8,21.7,8.9,55081.0,51268,-3813.0,6.0,8.3,2.3,15.8,16.7,0.9,48.5,56.0,7.5,3.9,6.4,2.5,2.94,36.82,33.88,13.8,17.4,3.6,13.2,12.8,-0.4,89.4,91.0,1.6
6037134422,Los Angeles County,California,6037134422,4.0,3.0,-1.0,130352.0,157969,27617.0,6.2,10.4,4.2,48.7,51.6,2.9,16.8,15.2,-1.6,7.3,4.7,-2.6,27.7,19.72,-7.98,4.5,5.0,0.5,9.8,8.8,-1.0,88.0,91.5,3.5
6037134423,Los Angeles County,California,6037134423,6.9,8.5,1.6,101563.0,115189,13626.0,5.9,3.8,-2.1,48.2,50.7,2.5,28.0,25.7,-2.3,20.6,18.8,-1.8,54.06,53.26,-0.8,3.1,1.5,-1.6,20.6,16.4,-4.2,78.6,81.5,2.9
6037134424,Los Angeles County,California,6037134424,1.8,4.2,2.4,149306.0,149000,-306.0,6.4,9.5,3.1,67.3,68.0,0.7,12.3,18.6,6.3,0.7,1.3,0.6,97.9,100.0,2.1,3.9,3.2,-0.7,13.2,9.4,-3.8,97.3,96.2,-1.1
6037134520,Los Angeles County,California,6037134520,17.5,24.4,6.9,39397.0,50139,10742.0,7.2,5.5,-1.7,17.2,19.8,2.6,56.6,58.4,1.8,16.2,14.5,-1.7,0.0,0.0,0.0,16.4,13.0,-3.4,7.8,10.1,2.3,83.6,90.1,6.5
6037134521,Los Angeles County,California,6037134521,18.8,25.2,6.4,53169.0,53145,-24.0,5.5,6.1,0.6,10.0,6.4,-3.6,56.4,51.0,-5.4,13.6,14.7,1.1,4.44,4.42,-0.02,21.0,15.5,-5.5,4.7,6.3,1.6,76.5,85.3,8.8
6037134522,Los Angeles County,California,6037134522,36.4,24.7,-11.7,40560.0,49375,8815.0,4.6,5.6,1.0,11.3,13.8,2.5,58.6,47.5,-11.1,14.5,10.5,-4.0,8.13,86.28,78.15,26.0,21.3,-4.7,6.9,5.0,-1.9,89.9,95.2,5.3
6037134710,Los Angeles County,California,6037134710,27.3,26.2,-1.1,44397.0,52683,8286.0,6.5,4.5,-2.0,23.5,23.8,0.3,62.2,55.8,-6.4,13.7,8.3,-5.4,70.54,81.9,11.36,14.6,15.3,0.7,9.0,10.4,1.4,88.6,89.0,0.4
6037134720,Los Angeles County,California,6037134720,14.6,13.9,-0.7,77926.0,86375,8449.0,6.9,8.4,1.5,29.0,32.3,3.3,38.4,35.4,-3.0,2.8,7.9,5.1,18.04,17.32,-0.72,7.4,10.0,2.6,6.9,7.0,0.1,87.5,84.3,-3.2
6037134802,Los Angeles County,California,6037134802,11.1,25.1,14.0,88806.0,83984,-4822.0,5.6,9.1,3.5,28.4,24.2,-4.2,31.7,36.4,4.7,4.4,6.6,2.2,67.31,85.52,18.21,4.8,9.3,4.5,8.3,9.9,1.6,94.6,87.7,-6.9
6037134901,Los Angeles County,California,6037134901,20.7,16.6,-4.1,87875.0,78526,-9349.0,5.2,10.4,5.2,42.7,41.1,-1.6,32.8,36.7,3.9,1.8,1.0,-0.8,0.0,0.0,0.0,3.9,7.3,3.4,14.6,11.3,-3.3,94.7,95.1,0.4
6037134904,Los Angeles County,California,6037134904,14.7,17.2,2.5,60054.0,75769,15715.0,10.7,12.7,2.0,26.7,29.8,3.1,45.8,44.4,-1.4,7.3,4.5,-2.8,93.81,87.34,-6.47,10.3,9.3,-1.0,10.2,13.0,2.8,97.3,97.9,0.6
6037134905,Los Angeles County,California,6037134905,16.3,19.2,2.9,78465.0,100103,21638.0,6.7,3.9,-2.8,64.5,64.3,-0.2,42.7,36.4,-6.3,1.3,2.0,0.7,100.0,100.0,0.0,8.2,12.9,4.7,7.5,6.3,-1.2,98.1,98.8,0.7
6037135102,Los Angeles County,California,6037135102,1.4,8.1,6.7,150066.0,153750,3684.0,2.6,4.2,1.6,56.0,59.0,3.0,16.4,20.3,3.9,1.3,5.7,4.4,0.0,3.02,3.02,3.7,2.9,-0.8,11.5,12.1,0.6,98.2,97.3,-0.9
6037135111,Los Angeles County,California,6037135111,7.4,8.2,0.8,102535.0,98490,-4045.0,4.1,6.1,2.0,38.3,37.9,-0.4,20.5,22.4,1.9,2.2,3.6,1.4,97.23,100.0,2.77,5.7,8.2,2.5,13.6,10.3,-3.3,90.8,94.8,4.0
6037135113,Los Angeles County,California,6037135113,4.3,12.7,8.4,96042.0,110489,14447.0,6.1,5.0,-1.1,52.3,58.8,6.5,29.2,29.3,0.1,5.4,5.3,-0.1,85.02,75.94,-9.08,4.5,5.1,0.6,8.3,6.5,-1.8,91.4,96.3,4.9
6037135115,Los Angeles County,California,6037135115,12.0,4.1,-7.9,63321.0,86169,22848.0,13.7,9.0,-4.7,59.8,64.1,4.3,48.8,45.2,-3.6,7.6,6.7,-0.9,100.0,71.96,-28.04,5.8,4.1,-1.7,8.7,4.0,-4.7,94.8,92.2,-2.6
6037135202,Los Angeles County,California,6037135202,6.6,9.1,2.5,107692.0,130156,22464.0,8.9,9.8,0.9,49.3,53.0,3.7,24.0,23.0,-1.0,2.8,2.8,0.0,40.37,47.29,6.92,1.4,3.1,1.7,7.6,6.3,-1.3,95.2,97.5,2.3
6037137000,Los Angeles County,California,6037137000,4.7,7.7,3.0,106902.0,108224,1322.0,8.4,8.6,0.2,50.3,51.1,0.8,20.2,16.6,-3.6,1.4,2.5,1.1,85.15,84.66,-0.49,3.6,2.9,-0.7,16.2,21.6,5.4,85.2,83.7,-1.5
6037137103,Los Angeles County,California,6037137103,12.9,15.5,2.6,84327.0,90964,6637.0,4.9,8.0,3.1,51.3,50.4,-0.9,38.9,34.7,-4.2,2.7,3.0,0.3,37.07,39.6,2.53,2.6,0.9,-1.7,11.7,14.0,2.3,96.4,96.2,-0.2
6037137202,Los Angeles County,California,6037137202,9.1,11.4,2.3,78095.0,71346,-6749.0,7.6,13.2,5.6,57.7,58.3,0.6,32.4,45.0,12.6,14.4,11.4,-3.0,80.5,42.42,-38.08,3.5,7.8,4.3,7.2,8.0,0.8,95.0,87.7,-7.3
6037137203,Los Angeles County,California,6037137203,7.3,6.7,-0.6,90577.0,119385,28808.0,4.9,7.7,2.8,34.9,34.8,-0.1,30.3,19.1,-11.2,8.7,4.8,-3.9,28.6,79.22,50.62,0.0,2.1,2.1,6.0,8.5,2.5,95.3,93.7,-1.6
6037137301,Los Angeles County,California,6037137301,3.8,2.1,-1.7,166172.0,181571,15399.0,3.3,5.7,2.4,51.3,54.6,3.3,14.7,11.8,-2.9,0.9,0.0,-0.9,73.57,66.11,-7.46,2.0,1.8,-0.2,10.8,8.8,-2.0,97.6,98.5,0.9
6037137302,Los Angeles County,California,6037137302,5.3,7.0,1.7,146990.0,167500,20510.0,5.7,6.7,1.0,57.3,56.5,-0.8,16.9,15.1,-1.8,3.2,1.0,-2.2,100.0,92.94,-7.06,2.7,1.3,-1.4,10.3,12.4,2.1,97.3,98.1,0.8
6037137401,Los Angeles County,California,6037137401,3.4,7.6,4.2,123214.0,143859,20645.0,5.2,3.4,-1.8,58.4,61.3,2.9,17.5,12.8,-4.7,3.0,1.0,-2.0,40.27,52.05,11.78,5.0,6.0,1.0,7.2,6.0,-1.2,93.9,97.6,3.7
6037137402,Los Angeles County,California,6037137402,2.9,2.5,-0.4,125750.0,145182,19432.0,9.1,8.6,-0.5,60.0,52.6,-7.4,17.3,21.3,4.0,5.4,3.7,-1.7,38.77,43.56,4.79,2.4,2.4,0.0,11.3,9.3,-2.0,95.8,97.9,2.1
6037137501,Los Angeles County,California,6037137501,15.5,14.0,-1.5,93654.0,112800,19146.0,9.5,10.8,1.3,52.5,60.2,7.7,32.9,34.8,1.9,5.9,6.7,0.8,25.67,20.6,-5.07,7.2,2.5,-4.7,6.1,7.5,1.4,95.0,92.6,-2.4
6037137502,Los Angeles County,California,6037137502,5.1,5.6,0.5,99804.0,129395,29591.0,5.1,5.4,0.3,53.8,52.5,-1.3,29.0,18.6,-10.4,7.6,5.5,-2.1,19.07,29.17,10.1,4.2,7.3,3.1,11.2,10.0,-1.2,82.9,89.1,6.2
6037137504,Los Angeles County,California,6037137504,1.5,1.8,0.3,159464.0,203750,44286.0,3.0,4.4,1.4,67.9,68.9,1.0,17.6,9.4,-8.2,3.8,2.9,-0.9,100.0,100.0,0.0,1.1,2.0,0.9,14.2,15.0,0.8,97.9,98.8,0.9
