state_abbreviation,state_county_fips,county_name,tract_fips,tract_id,social_vulnerability_index,poverty_rate,median_household_income,uninsured_rate,housing_cost_burden,no_vehicle_rate,low_access_households_no_vehicle,low_access_population_rate,disability_rate,unemployment_rate,no_internet_access_rate,limited_english_rate
CA,6029,Kern County,6029000103,6029000103,0.5301,43.8,48250.0,8.3,42.7,5.6,4.12,65.96,10.0,21.2,2.9,0.0
CA,6029,Kern County,6029000104,6029000104,0.5952,21.2,56815.0,14.3,64.4,0.0,0.0,3.25,15.3,13.0,4.2,4.2
CA,6029,Kern County,6029000105,6029000105,0.3518,10.9,75700.0,6.7,38.4,0.8,0.9,97.47,15.2,1.3,2.2,2.5
CA,6029,Kern County,6029000106,6029000106,0.3637,5.2,59965.0,4.3,25.3,9.1,9.24,9.44,10.5,3.0,3.6,0.0
CA,6029,Kern County,6029000201,6029000201,0.791,49.1,29696.0,9.0,58.1,11.9,0.0,65.46,19.4,17.1,9.6,2.3
CA,6029,Kern County,6029000202,6029000202,0.6551,22.2,34883.0,13.4,55.5,20.6,2.31,100.0,10.2,10.2,19.4,4.1
CA,6029,Kern County,6029000300,6029000300,0.864,32.2,45130.0,8.5,47.2,26.6,9.76,45.05,18.2,14.2,10.5,2.4
CA,6029,Kern County,6029000400,6029000400,0.964,41.2,25820.0,5.9,66.3,22.3,7.89,30.02,18.5,16.8,21.1,4.5
CA,6029,Kern County,6029000504,6029000504,0.8293,13.4,57250.0,4.8,35.2,17.2,16.5,92.16,17.3,9.7,9.0,2.8
CA,6029,Kern County,6029000505,6029000505,0.2837,7.8,85992.0,1.6,26.6,4.8,3.17,57.18,23.4,7.7,15.1,0.8
CA,6029,Kern County,6029000506,6029000506,0.3556,10.8,78313.0,3.6,25.4,6.9,5.6,26.45,6.5,2.0,3.7,3.1
CA,6029,Kern County,6029000507,6029000507,0.3236,3.2,96957.0,5.5,13.7,3.8,2.38,95.38,14.8,3.7,7.6,3.4
CA,6029,Kern County,6029000508,6029000508,0.0498,2.5,112689.0,2.7,18.7,0.0,1.29,2.91,7.1,1.1,3.0,1.2
CA,6029,Kern County,6029000509,6029000509,0.0022,6.2,179244.0,4.7,3.5,1.3,0.46,26.61,3.1,3.9,0.0,0.0
CA,6029,Kern County,6029000510,6029000510,0.3337,17.7,147262.0,5.4,8.4,0.0,3.48,1.79,10.8,6.6,0.6,4.6
CA,6029,Kern County,6029000601,6029000601,0.9852,38.0,30938.0,15.6,45.8,20.8,0.86,99.68,30.6,8.9,7.3,6.9
CA,6029,Kern County,6029000602,6029000602,0.6924,48.0,33208.0,7.3,53.7,2.8,8.62,57.96,3.7,2.5,23.7,2.4
CA,6029,Kern County,6029000603,6029000603,0.9573,57.1,25693.0,2.4,35.9,16.1,3.29,41.12,15.0,28.1,16.4,21.9
CA,6029,Kern County,6029000701,6029000701,0.682,32.0,43258.0,8.0,50.6,10.9,0.0,80.4,13.8,4.1,14.2,7.1
CA,6029,Kern County,6029000702,6029000702,0.5298,20.2,67609.0,7.0,28.2,3.3,0.82,42.39,14.1,16.5,7.6,4.0
CA,6029,Kern County,6029000800,6029000800,0.5555,16.7,63527.0,6.4,30.7,3.0,3.44,49.81,14.1,8.1,7.4,2.6
CA,6029,Kern County,6029000902,6029000902,0.6564,15.8,58800.0,7.6,31.8,6.3,0.0,59.43,10.5,7.6,9.9,3.4
CA,6029,Kern County,6029000903,6029000903,0.6552,9.8,77592.0,5.1,24.6,7.4,14.7,64.84,16.8,3.5,10.6,6.3
CA,6029,Kern County,6029000904,6029000904,0.9353,26.7,45458.0,12.2,39.7,6.0,0.0,41.81,15.5,7.3,11.1,5.4
CA,6029,Kern County,6029000905,6029000905,0.5004,6.6,59852.0,3.8,33.4,0.0,4.65,62.59,10.9,6.1,12.7,13.5
CA,6029,Kern County,6029000906,6029000906,0.6574,24.5,60799.0,7.9,37.2,1.7,0.28,28.0,5.9,10.8,14.3,19.7
CA,6029,Kern County,6029000907,6029000907,0.5787,15.7,68438.0,4.4,29.6,4.7,2.1,53.08,8.8,12.2,6.9,8.3
CA,6029,Kern County,6029000908,6029000908,0.6993,12.3,83963.0,4.1,33.0,8.3,4.84,96.74,14.5,3.6,7.6,6.4
CA,6029,Kern County,6029000909,6029000909,0.3707,8.1,93906.0,8.0,22.9,1.3,1.16,91.95,13.3,9.0,6.3,4.5
CA,6029,Kern County,6029000911,6029000911,0.6997,14.9,33966.0,12.6,65.7,16.0,0.0,2.63,5.6,5.5,6.5,6.0
CA,6029,Kern County,6029000912,6029000912,0.8785,30.0,63281.0,4.4,37.9,27.0,1.7,3.2,21.7,3.7,24.7,15.3
CA,6029,Kern County,6029000913,6029000913,0.0652,2.3,131071.0,2.6,4.7,1.7,0.66,61.57,6.5,4.1,0.0,3.7
CA,6029,Kern County,6029000914,6029000914,0.3735,5.0,91215.0,4.2,22.2,1.6,0.0,35.77,5.7,1.7,0.0,2.1
CA,6029,Kern County,6029001001,6029001001,0.63,17.1,91220.0,7.0,30.3,4.6,3.02,1.54,7.2,6.5,14.4,15.6
CA,6029,Kern County,6029001002,6029001002,0.8197,34.2,59375.0,31.1,41.4,6.3,4.64,96.48,7.2,10.0,14.1,27.5
CA,6029,Kern County,6029001003,6029001003,0.7013,10.1,64886.0,7.1,43.3,4.2,0.0,8.86,13.3,4.9,4.7,4.5
CA,6029,Kern County,6029001101,6029001101,0.9416,38.7,29139.0,4.7,57.6,2.1,6.31,33.57,10.5,6.0,27.8,17.3
CA,6029,Kern County,6029001104,6029001104,0.8999,31.4,46957.0,25.0,52.6,1.6,2.49,44.18,13.5,10.9,29.6,16.0
CA,6029,Kern County,6029001105,6029001105,0.8487,18.7,54010.0,11.8,37.0,4.0,0.39,100.0,7.7,8.8,27.7,26.8
CA,6029,Kern County,6029001106,6029001106,0.9757,32.5,39494.0,8.2,53.3,10.9,1.64,8.86,8.7,12.3,35.5,24.8
CA,6029,Kern County,6029001107,6029001107,0.9268,28.2,52825.0,9.9,42.6,7.0,1.89,86.58,11.1,3.6,16.4,29.6
CA,6029,Kern County,6029001201,6029001201,0.9829,31.6,42313.0,8.3,51.0,8.3,0.0,4.39,9.7,14.8,19.0,22.4
CA,6029,Kern County,6029001202,6029001202,0.9824,56.6,29389.0,8.1,52.2,30.2,4.39,16.94,17.2,12.0,20.5,20.2
CA,6029,Kern County,6029001301,6029001301,0.9976,52.4,27793.0,9.3,54.4,21.6,4.35,12.84,12.5,19.9,10.4,18.9
CA,6029,Kern County,6029001302,6029001302,0.9907,69.1,24506.0,7.6,63.0,15.8,0.0,59.5,11.7,19.8,39.3,16.5
CA,6029,Kern County,6029001401,6029001401,0.8833,11.5,36622.0,5.9,57.6,9.0,0.0,91.93,8.9,3.2,16.0,22.1
CA,6029,Kern County,6029001402,6029001402,0.9534,10.1,33155.0,7.3,54.3,19.3,4.16,100.0,12.3,4.2,14.3,7.4
CA,6029,Kern County,6029001500,6029001500,0.9905,35.0,34844.0,9.5,49.1,17.3,3.89,0.0,18.5,17.4,26.1,12.4
CA,6029,Kern County,6029001600,6029001600,0.9461,45.7,18778.0,5.1,58.4,24.9,25.14,78.45,21.6,11.6,15.8,4.6
CA,6029,Kern County,6029001700,6029001700,0.4977,22.8,71486.0,5.4,36.1,4.9,8.84,69.99,11.2,6.3,8.1,0.9
CA,6029,Kern County,6029001801,6029001801,0.8259,21.7,54420.0,9.5,40.9,10.7,8.27,31.47,9.6,8.0,9.3,8.4
CA,6029,Kern County,6029001803,6029001803,0.5519,8.1,70058.0,2.9,42.9,8.6,5.15,98.98,7.5,9.3,8.6,5.3
CA,6029,Kern County,6029001804,6029001804,0.4527,7.6,91250.0,9.9,23.6,3.2,11.6,50.06,13.7,4.1,1.3,0.0
CA,6029,Kern County,6029001901,6029001901,0.6952,19.2,64851.0,11.3,39.1,13.5,9.16,100.0,17.2,3.2,15.5,4.6
CA,6029,Kern County,6029001902,6029001902,0.8894,21.6,50250.0,10.8,39.9,6.0,13.59,67.41,15.0,13.9,6.8,4.0
CA,6029,Kern County,6029002001,6029002001,0.9842,71.0,18156.0,12.2,77.0,22.7,3.55,61.22,16.7,12.6,18.3,6.2
CA,6029,Kern County,6029002002,6029002002,0.9994,61.1,28831.0,9.1,60.3,26.5,3.3,39.2,17.1,27.8,10.6,12.8
CA,6029,Kern County,6029002100,6029002100,0.9902,49.1,32917.0,9.7,57.3,17.2,10.96,49.51,11.4,11.0,18.4,17.9
CA,6029,Kern County,6029002201,6029002201,0.711,25.8,40946.0,14.6,33.6,15.2,6.99,28.03,7.9,8.6,24.8,27.8
CA,6029,Kern County,6029002202,6029002202,0.9843,51.3,38049.0,12.7,51.6,17.8,1.12,77.52,11.7,18.7,23.9,21.6
CA,6029,Kern County,6029002302,6029002302,0.8511,27.4,50755.0,9.9,46.4,11.5,6.56,46.61,5.5,19.0,10.9,15.0
CA,6029,Kern County,6029002303,6029002303,0.9284,26.8,51046.0,21.6,38.1,17.9,5.15,85.15,4.0,9.1,4.3,18.0
CA,6029,Kern County,6029002304,6029002304,0.8283,30.4,47346.0,13.0,42.2,2.8,0.0,75.99,3.4,11.5,3.4,12.2
CA,6029,Kern County,6029002305,6029002305,0.692,12.2,62009.0,19.5,23.9,3.9,3.04,25.32,14.4,10.6,9.3,20.2
CA,6029,Kern County,6029002401,6029002401,0.6244,12.5,90230.0,9.2,26.2,1.2,0.56,99.53,16.9,5.4,26.4,16.5
CA,6029,Kern County,6029002402,6029002402,0.6812,14.3,69403.0,6.3,42.5,0.0,4.56,67.89,4.1,7.4,6.5,14.9
CA,6029,Kern County,6029002403,6029002403,0.9118,40.9,41250.0,3.7,47.2,17.0,5.52,36.76,11.2,8.1,20.1,7.0
CA,6029,Kern County,6029002501,6029002501,0.9809,35.9,40060.0,7.6,41.8,11.3,2.56,42.22,11.8,12.8,9.3,17.2
CA,6029,Kern County,6029002502,6029002502,0.8735,32.4,42050.0,12.7,34.1,6.6,2.17,95.65,1.3,19.5,16.8,22.1
CA,6029,Kern County,6029002503,6029002503,0.7806,33.6,60702.0,9.2,38.9,0.0,0.0,85.81,9.2,7.6,15.1,21.6
CA,6029,Kern County,6029002600,6029002600,0.9525,26.0,40872.0,11.8,45.0,8.7,3.03,60.73,15.5,9.3,11.0,12.5
CA,6029,Kern County,6029002701,6029002701,0.6476,28.3,58301.0,11.2,44.7,1.8,2.27,43.19,12.0,12.3,18.9,13.7
CA,6029,Kern County,6029002702,6029002702,0.8875,14.9,62270.0,9.6,43.0,12.3,6.53,50.0,17.6,8.6,14.3,11.6
CA,6029,Kern County,6029002804,6029002804,0.4309,16.7,45246.0,2.2,41.9,13.4,2.27,56.73,24.4,14.5,16.6,0.4
CA,6029,Kern County,6029002806,6029002806,0.2711,8.0,72632.0,10.1,32.7,0.5,0.0,57.93,4.4,0.7,1.1,5.2
CA,6029,Kern County,6029002807,6029002807,0.2645,6.8,128112.0,2.4,15.9,4.6,5.31,58.0,7.8,3.0,6.6,3.2
CA,6029,Kern County,6029002811,6029002811,0.16,0.9,170986.0,5.5,7.6,4.6,3.03,45.11,14.3,4.4,2.2,4.6
CA,6029,Kern County,6029002813,6029002813,0.8097,20.2,55257.0,13.9,44.5,8.9,0.0,20.05,7.9,11.7,5.1,2.9
CA,6029,Kern County,6029002814,6029002814,0.9239,16.7,41250.0,11.3,50.4,17.4,3.77,17.31,17.3,6.4,19.5,7.8
CA,6029,Kern County,6029002815,6029002815,0.7566,25.2,45287.0,7.7,45.1,8.7,3.45,47.1,10.8,8.5,7.2,5.9
CA,6029,Kern County,6029002816,6029002816,0.8233,22.6,64014.0,9.4,35.1,3.3,4.96,83.05,10.2,9.9,4.7,9.4
CA,6029,Kern County,6029002817,6029002817,0.8683,23.5,52744.0,5.1,47.5,11.9,0.0,38.48,16.0,6.7,7.5,2.8
CA,6029,Kern County,6029002818,6029002818,0.5525,11.4,80588.0,7.2,32.0,0.7,0.0,62.04,8.3,8.4,6.3,1.9
CA,6029,Kern County,6029002819,6029002819,0.4268,8.5,76449.0,5.0,29.3,2.7,0.0,18.54,9.3,9.4,3.8,2.5
CA,6029,Kern County,6029002820,6029002820,0.14,3.0,113603.0,2.5,23.8,0.0,0.45,100.0,7.8,4.9,4.1,5.6
CA,6029,Kern County,6029002821,6029002821,0.2072,4.1,85492.0,4.8,24.6,3.6,0.06,83.19,6.4,2.3,4.2,4.1
CA,6029,Kern County,6029002822,6029002822,0.1636,2.4,156548.0,1.5,19.5,4.7,1.37,19.86,11.0,8.7,0.0,2.0
CA,6029,Kern County,6029002823,6029002823,0.6876,18.5,69817.0,3.5,47.2,8.6,1.49,65.04,9.1,6.4,9.1,1.7
CA,6029,Kern County,6029002824,6029002824,0.739,22.8,39958.0,11.2,56.0,16.8,1.35,0.0,12.7,10.3,11.5,5.1
CA,6029,Kern County,6029002825,6029002825,0.694,29.2,46574.0,5.3,35.7,5.9,3.9,86.99,11.5,10.5,5.3,4.0
CA,6029,Kern County,6029002901,6029002901,0.8302,18.0,44645.0,24.2,53.8,5.4,0.0,54.38,6.0,11.1,22.7,15.0
CA,6029,Kern County,6029002902,6029002902,0.9211,28.6,45761.0,10.0,41.6,16.7,5.14,56.77,18.6,4.9,11.8,9.4
CA,6029,Kern County,6029003001,6029003001,0.9681,23.2,39859.0,10.7,42.5,6.4,2.92,96.73,20.6,12.3,16.8,10.9
CA,6029,Kern County,6029003002,6029003002,0.8863,33.3,37277.0,9.5,46.5,5.1,1.16,49.78,10.7,3.5,24.1,42.5
CA,6029,Kern County,6029003103,6029003103,0.9669,30.1,46788.0,16.7,49.1,13.2,3.07,37.49,15.9,10.2,12.2,15.5
CA,6029,Kern County,6029003112,6029003112,0.8446,11.7,59287.0,8.7,35.0,12.2,0.0,39.86,15.3,3.0,13.8,8.8
CA,6029,Kern County,6029003113,6029003113,0.9533,11.8,57222.0,10.9,39.9,5.3,6.29,7.34,12.5,13.2,4.3,11.6
CA,6029,Kern County,6029003124,6029003124,0.6215,8.1,82574.0,5.0,23.1,3.5,2.3,45.9,9.9,10.2,5.4,4.6
CA,6029,Kern County,6029003125,6029003125,0.8108,20.1,70254.0,3.6,20.7,3.5,1.04,80.16,15.4,5.8,2.5,12.0
CA,6029,Kern County,6029003126,6029003126,0.9686,21.2,49519.0,14.9,51.7,10.3,0.0,9.0,6.9,11.3,19.9,10.5
CA,6029,Kern County,6029003127,6029003127,0.83,21.7,48466.0,17.0,45.7,4.9,2.08,100.0,15.1,5.3,13.6,18.8
CA,6029,Kern County,6029003128,6029003128,0.8668,24.0,47668.0,13.3,53.8,1.1,1.93,74.94,8.2,9.5,23.4,10.5
CA,6029,Kern County,6029003129,6029003129,0.3317,35.7,65825.0,3.8,32.7,0.0,7.42,100.0,7.8,4.9,6.9,4.0
CA,6029,Kern County,6029003130,6029003130,0.2503,1.4,133409.0,3.9,20.5,3.3,7.69,10.35,9.9,12.5,1.6,2.9
CA,6029,Kern County,6029003131,6029003131,0.5305,4.4,73883.0,7.7,33.0,0.0,5.51,82.44,12.6,8.3,4.2,4.8
CA,6029,Kern County,6029003132,6029003132,0.8472,25.3,72024.0,14.8,33.7,6.1,2.29,14.25,10.0,19.9,10.2,12.3
CA,6029,Kern County,6029003133,6029003133,0.8736,28.4,88050.0,9.3,16.6,9.7,0.0,93.3,14.9,12.9,5.0,9.1
CA,6029,Kern County,6029003134,6029003134,0.2476,14.8,81797.0,2.4,39.5,5.3,1.07,29.54,4.6,2.2,5.3,4.4
CA,6029,Kern County,6029003135,6029003135,0.346,4.2,128666.0,13.6,11.1,6.4,7.16,79.56,11.4,5.4,4.1,2.6
CA,6029,Kern County,6029003136,6029003136,0.5685,13.1,59306.0,7.7,28.9,3.1,1.02,27.17,10.2,14.4,10.8,5.8
CA,6029,Kern County,6029003137,6029003137,0.8067,12.6,57475.0,22.1,33.5,5.9,0.23,29.19,11.3,3.0,11.6,15.9
CA,6029,Kern County,6029003203,6029003203,0.3821,11.5,109615.0,3.4,25.0,1.2,0.4,99.79,12.1,13.0,2.0,2.1
CA,6029,Kern County,6029003207,6029003207,0.6294,21.0,80365.0,12.7,36.3,0.0,0.77,22.63,8.3,3.9,0.0,10.7
CA,6029,Kern County,6029003208,6029003208,0.7127,8.0,68573.0,12.8,41.7,8.4,0.09,41.74,8.9,5.3,9.5,9.8
CA,6029,Kern County,6029003209,6029003209,0.5351,14.4,68805.0,8.1,49.9,2.4,3.25,0.19,5.9,7.3,9.4,2.8
CA,6029,Kern County,6029003210,6029003210,0.3174,8.4,70382.0,4.2,42.9,1.4,1.31,100.0,12.3,2.1,5.1,7.8
CA,6029,Kern County,6029003211,6029003211,0.647,8.7,115292.0,9.9,26.7,3.3,0.0,35.18,14.8,3.8,9.1,10.2
CA,6029,Kern County,6029003212,6029003212,0.0833,2.5,168657.0,4.4,6.0,1.6,7.46,100.0,8.4,1.0,4.1,6.8
CA,6029,Kern County,6029003213,6029003213,0.0033,0.8,116845.0,1.8,23.7,0.0,4.3,91.5,3.4,1.6,3.8,0.5
CA,6029,Kern County,6029003214,6029003214,0.7733,7.0,74284.0,7.9,39.7,0.0,0.0,20.65,12.8,9.7,2.3,21.0
CA,6029,Kern County,6029003215,6029003215,0.8435,14.5,68788.0,4.6,31.0,14.6,0.0,52.81,13.0,11.0,7.7,12.0
CA,6029,Kern County,6029003216,6029003216,0.3571,3.9,113155.0,12.0,14.6,0.0,2.87,68.24,5.6,3.7,0.2,16.7
CA,6029,Kern County,6029003217,6029003217,0.1847,8.3,110914.0,7.7,21.9,1.1,0.0,97.75,5.6,5.3,6.9,5.8
CA,6029,Kern County,6029003218,6029003218,0.2088,4.1,97435.0,3.9,17.5,4.0,0.49,0.0,4.4,0.7,4.1,8.5
CA,6029,Kern County,6029003219,6029003219,0.1398,5.5,110500.0,12.0,21.8,2.5,6.24,50.06,2.8,2.6,1.5,2.6
CA,6029,Kern County,6029003220,6029003220,0.1101,1.1,141310.0,8.3,23.0,3.5,3.47,20.56,7.6,1.4,6.3,0.4
CA,6029,Kern County,6029003221,6029003221,0.2428,2.4,120922.0,4.4,21.9,8.5,5.82,98.96,3.0,5.4,1.8,2.3
CA,6029,Kern County,6029003222,6029003222,0.73,16.6,54911.0,35.8,36.0,1.7,2.66,96.59,8.9,24.6,13.7,5.8
CA,6029,Kern County,6029003303,6029003303,0.6376,15.7,50333.0,7.7,26.1,2.3,0.58,90.03,14.8,12.5,15.0,8.7
CA,6029,Kern County,6029003304,6029003304,0.69,13.2,70357.0,13.6,23.7,3.5,4.98,85.58,9.1,14.0,12.9,7.3
CA,6029,Kern County,6029003305,6029003305,0.6494,32.6,40074.0,8.0,50.6,8.5,4.35,50.17,26.5,13.3,6.3,1.9
CA,6029,Kern County,6029003307,6029003307,0.4664,15.9,52791.0,4.4,41.8,2.0,2.45,100.0,16.3,9.1,8.2,1.0
CA,6029,Kern County,6029003308,6029003308,0.5801,20.5,48143.0,11.1,34.2,0.7,11.04,70.63,15.1,17.3,14.7,0.0
CA,6029,Kern County,6029003400,6029003400,0.7642,41.6,42826.0,22.6,43.6,17.5,1.76,47.96,8.5,20.8,12.7,19.5
CA,6029,Kern County,6029003500,6029003500,0.7424,22.2,51770.0,4.5,36.5,15.1,7.85,35.39,22.9,4.9,26.8,5.1
CA,6029,Kern County,6029003600,6029003600,0.6324,27.3,51324.0,7.5,37.6,4.6,8.66,79.96,10.7,12.4,23.8,19.3
CA,6029,Kern County,6029003806,6029003806,0.1386,9.3,129714.0,4.4,15.6,1.0,5.97,11.32,8.8,3.7,2.0,2.4
CA,6029,Kern County,6029003807,6029003807,0.2429,9.4,89483.0,2.5,20.4,1.3,5.95,66.97,10.4,7.6,3.3,1.6
CA,6029,Kern County,6029003808,6029003808,0.4688,9.5,84267.0,3.8,34.0,5.8,0.0,93.12,11.7,3.7,3.5,4.1
CA,6029,Kern County,6029003810,6029003810,0.0325,3.8,141750.0,1.1,9.2,1.9,3.52,28.9,9.7,5.3,0.6,1.8
CA,6029,Kern County,6029003811,6029003811,0.503,4.1,82188.0,10.6,30.1,0.0,0.0,50.26,9.5,8.6,4.6,1.9
CA,6029,Kern County,6029003812,6029003812,0.6846,5.5,86125.0,8.9,21.8,6.5,0.0,22.77,14.7,8.0,10.0,4.9
CA,6029,Kern County,6029003814,6029003814,0.0218,4.7,140608.0,0.2,4.2,0.1,1.26,28.86,4.6,7.4,1.7,0.7
CA,6029,Kern County,6029003815,6029003815,0.1736,13.6,124203.0,2.9,20.1,0.0,5.28,97.0,6.4,4.8,0.0,3.4
CA,6029,Kern County,6029003816,6029003816,0.2813,12.5,99583.0,4.0,28.4,4.7,0.0,18.76,13.3,1.6,14.7,6.3
CA,6029,Kern County,6029003817,6029003817,0.0874,10.3,138516.0,1.4,18.2,0.0,2.06,97.18,3.8,9.4,1.3,1.5
CA,6029,Kern County,6029003818,6029003818,0.2889,11.5,99124.0,3.7,20.0,0.8,0.0,33.24,9.6,6.2,1.2,1.6
CA,6029,Kern County,6029003819,6029003819,0.4235,12.1,98939.0,3.9,24.3,3.5,2.83,99.01,14.7,4.5,8.0,0.9
CA,6029,Kern County,6029003820,6029003820,0.0301,4.1,131563.0,0.0,8.0,0.0,2.4,93.17,14.8,5.1,0.0,1.8
CA,6029,Kern County,6029003821,6029003821,0.183,5.6,144740.0,9.6,19.4,1.6,0.0,89.3,4.2,4.5,1.6,5.5
CA,6029,Kern County,6029003822,6029003822,0.0394,12.1,120156.0,4.2,36.9,1.7,2.0,18.26,4.5,2.9,3.5,0.0
CA,6029,Kern County,6029003823,6029003823,0.1638,1.1,170729.0,2.8,10.9,1.1,1.1,100.0,9.6,2.9,4.6,0.7
CA,6029,Kern County,6029003824,6029003824,0.3083,8.9,84146.0,3.8,15.9,0.9,3.93,94.46,8.0,5.7,2.0,2.1
CA,6029,Kern County,6029003825,6029003825,0.0642,12.1,126932.0,4.0,6.1,0.0,0.39,98.54,2.8,14.8,1.9,0.3
CA,6029,Kern County,6029003826,6029003826,0.003,2.1,159743.0,2.0,10.5,1.0,3.68,97.41,5.1,3.8,0.7,0.0
CA,6029,Kern County,6029003827,6029003827,0.0046,0.1,90230.0,3.0,33.8,0.0,1.72,0.0,2.4,2.0,33.9,3.6
CA,6029,Kern County,6029003900,6029003900,0.4833,19.8,104881.0,3.7,37.0,0.0,3.11,97.88,4.9,4.3,9.5,6.9
CA,6029,Kern County,6029004001,6029004001,0.7678,12.2,74135.0,11.8,32.6,0.0,2.32,98.92,5.0,13.1,2.9,14.0
CA,6029,Kern County,6029004002,6029004002,0.5722,10.4,86563.0,7.0,29.4,1.3,0.09,35.99,2.3,6.4,21.0,18.2
CA,6029,Kern County,6029004101,6029004101,0.8343,30.3,72868.0,3.4,25.5,14.0,2.58,34.19,11.6,8.7,20.1,7.3
CA,6029,Kern County,6029004102,6029004102,0.8031,34.1,34242.0,16.2,46.5,2.3,13.59,82.96,6.7,3.3,28.3,20.9
CA,6029,Kern County,6029004302,6029004302,0.4999,10.0,90230.0,5.8,28.3,4.5,0.0,96.83,10.5,5.8,7.2,3.3
CA,6029,Kern County,6029004303,6029004303,0.9154,14.0,49483.0,12.4,33.1,3.6,0.0,19.32,7.1,10.8,18.3,30.3
CA,6029,Kern County,6029004304,6029004304,0.579,12.2,62800.0,9.4,33.5,1.0,1.04,2.76,5.5,2.9,40.2,41.7
CA,6029,Kern County,6029004305,6029004305,0.2553,20.8,90230.0,7.2,20.2,0.0,3.29,41.44,1.3,6.9,9.6,15.6
CA,6029,Kern County,6029004402,6029004402,0.9629,31.2,27807.0,11.6,44.5,6.3,0.0,17.74,6.6,9.2,45.0,23.7
CA,6029,Kern County,6029004403,6029004403,0.6622,12.8,57872.0,2.7,49.8,5.1,5.84,0.0,8.7,3.1,16.8,20.1
CA,6029,Kern County,6029004404,6029004404,0.7471,28.3,49907.0,6.6,47.8,1.4,0.44,96.37,10.9,13.6,18.0,21.8
CA,6029,Kern County,6029004500,6029004500,0.8563,22.0,46915.0,12.4,30.6,3.5,1.58,52.39,3.0,8.2,45.5,37.1
CA,6029,Kern County,6029004601,6029004601,0.4999,10.0,90230.0,5.8,28.3,4.5,2.77,98.28,10.5,5.8,7.2,4.5
CA,6029,Kern County,6029004603,6029004603,0.4999,10.0,90230.0,5.8,28.3,4.5,2.68,100.0,10.5,5.8,7.2,5.0
CA,6029,Kern County,6029004605,6029004605,0.3449,2.1,93965.0,4.5,18.6,0.0,11.28,56.14,0.5,6.3,13.6,14.6
CA,6029,Kern County,6029004606,6029004606,0.9895,21.4,33906.0,5.9,58.8,6.5,4.53,9.33,12.9,14.0,9.8,20.1
CA,6029,Kern County,6029004607,6029004607,0.5905,12.8,75960.0,3.5,15.1,0.0,0.0,64.16,5.8,8.0,8.2,19.6
CA,6029,Kern County,6029004702,6029004702,0.8722,30.1,35833.0,11.8,47.8,6.3,0.0,7.37,7.9,10.7,35.9,25.2
CA,6029,Kern County,6029004703,6029004703,0.8326,23.0,46250.0,7.0,47.2,4.1,7.83,95.2,2.7,4.6,25.0,21.7
CA,6029,Kern County,6029004704,6029004704,0.827,24.6,44397.0,3.4,34.9,11.2,6.18,49.36,5.4,4.2,22.1,17.1
CA,6029,Kern County,6029004801,6029004801,0.8481,33.7,38295.0,11.6,54.2,4.0,2.42,16.16,6.5,9.1,14.4,25.2
CA,6029,Kern County,6029004802,6029004802,0.9094,35.4,34583.0,7.8,47.1,7.5,1.85,98.6,6.9,17.0,39.4,32.3
CA,6029,Kern County,6029004901,6029004901,0.8876,20.4,41218.0,11.2,38.7,0.0,0.0,8.33,6.0,10.5,19.2,23.2
CA,6029,Kern County,6029004903,6029004903,0.498,4.3,72031.0,5.2,19.7,1.3,1.3,47.47,6.9,5.5,14.7,20.5
CA,6029,Kern County,6029004904,6029004904,0.7608,31.8,41712.0,7.3,38.2,5.5,0.0,43.02,10.2,7.1,17.5,27.3
CA,6029,Kern County,6029005003,6029005003,0.9577,24.9,37188.0,6.2,37.5,3.7,7.47,80.47,5.8,11.6,32.7,25.9
CA,6029,Kern County,6029005005,6029005005,0.8594,27.9,50143.0,8.3,45.0,7.4,11.52,31.13,3.9,16.4,25.4,25.7
CA,6029,Kern County,6029005006,6029005006,0.4946,4.2,95941.0,10.1,23.9,8.7,1.39,33.22,7.7,6.0,8.1,12.6
CA,6029,Kern County,6029005103,6029005103,0.5076,12.9,42409.0,3.9,36.2,6.7,4.64,88.43,37.3,1.3,14.4,7.6
CA,6029,Kern County,6029005104,6029005104,0.1331,5.7,97101.0,1.7,19.4,0.4,4.52,100.0,10.9,4.1,2.6,3.0
CA,6029,Kern County,6029005203,6029005203,0.6273,25.1,44886.0,3.3,35.4,9.3,1.51,80.38,22.7,7.1,17.7,1.1
CA,6029,Kern County,6029005205,6029005205,0.7452,41.0,26775.0,5.5,54.9,11.3,0.0,56.33,14.3,9.6,30.1,2.9
CA,6029,Kern County,6029005206,6029005206,0.4795,40.6,34193.0,3.0,37.0,1.5,1.29,18.05,31.4,25.1,12.5,2.0
CA,6029,Kern County,6029005207,6029005207,0.5718,19.8,40482.0,0.0,39.6,11.0,4.59,90.29,30.9,23.8,16.5,0.0
CA,6029,Kern County,6029005208,6029005208,0.4378,21.8,38208.0,8.9,24.8,5.0,0.0,76.89,24.1,4.6,14.3,3.5
CA,6029,Kern County,6029005300,6029005300,0.8169,20.1,45676.0,4.5,43.2,15.3,18.5,99.44,14.2,11.4,7.4,2.1
CA,6029,Kern County,6029005402,6029005402,0.1345,9.9,94906.0,3.1,15.0,3.9,4.65,95.07,15.0,7.0,7.9,0.2
CA,6029,Kern County,6029005405,6029005405,0.6235,13.6,70172.0,7.0,28.9,3.7,2.18,67.56,21.0,16.2,10.2,4.5
